Race,# Games,# Wins,# Draws,# Losses,Prom. Win %,TDs For,TDs Against,TDs Net,Prom. TDs For,Prom. TDs Against
Amazon,2231.0,934.0,558.0,739.0,53.15,2539.0,2188.0,351.0,0.96,0.96
Black Orc,3211.0,1025.0,722.0,1464.0,39.95,2950.0,3995.0,-1045.0,0.7,1.37
Chaos Chosen,2200.0,708.0,541.0,951.0,43.1,2091.0,2636.0,-545.0,0.87,1.4
Chaos Dwarf,3504.0,1382.0,907.0,1215.0,50.25,3732.0,3468.0,264.0,0.91,0.92
Chaos Renegade,1913.0,710.0,463.0,740.0,48.900000000000006,2109.0,2195.0,-86.0,1.08,1.06
Dark Elf,3609.0,1517.0,869.0,1223.0,56.7,4602.0,3889.0,713.0,1.21,0.91
Dwarf,4490.0,1837.0,1106.0,1547.0,54.650000000000006,4638.0,4337.0,301.0,1.01,0.87
Elf Union,1575.0,633.0,357.0,585.0,51.35,2285.0,2032.0,253.0,1.43,1.29
Goblin,2493.0,753.0,500.0,1240.0,40.95,2480.0,3637.0,-1157.0,0.83,1.46
Halfling,2844.0,997.0,643.0,1204.0,49.55,3363.0,3707.0,-344.0,1.25,1.22
High Elf,2153.0,942.0,531.0,680.0,54.4,3119.0,2418.0,701.0,1.25,1.08
Human,4223.0,1543.0,930.0,1750.0,44.95,4905.0,5170.0,-265.0,0.93,1.23
Imperial Nobility,1873.0,655.0,454.0,764.0,48.5,1956.0,2202.0,-246.0,0.73,0.8
Khorne,1969.0,717.0,449.0,803.0,48.45,1968.0,2225.0,-257.0,0.96,0.91
Lizardmen,4862.0,1850.0,1108.0,1904.0,48.7,5730.0,5696.0,34.0,1.05,1.08
Necromantic Horror,3758.0,1424.0,923.0,1411.0,48.7,4088.0,4090.0,-2.0,1.0,1.06
Norse,3232.0,1257.0,734.0,1241.0,47.65,3591.0,3648.0,-57.0,1.07,1.13
Nurgle,1585.0,516.0,395.0,674.0,37.15,1396.0,1760.0,-364.0,0.58,1.08
Ogre,2299.0,757.0,553.0,989.0,36.75,2316.0,2868.0,-552.0,0.9,1.53
Old World Alliance,1159.0,451.0,260.0,448.0,48.45,1335.0,1345.0,-10.0,1.27,1.27
Orc,5301.0,1982.0,1361.0,1958.0,48.0,5249.0,5377.0,-128.0,0.86,1.07
Shambling Undead,4957.0,1932.0,1284.0,1741.0,52.8,5500.0,5165.0,335.0,1.06,0.97
Skaven,3648.0,1422.0,813.0,1413.0,50.75,5599.0,4994.0,605.0,1.36,1.31
Slann,1263.0,524.0,283.0,456.0,52.6,1797.0,1538.0,259.0,1.27,1.08
Snotling,2191.0,795.0,504.0,892.0,36.5,2414.0,2778.0,-364.0,0.5,1.56
Tomb Kings,2356.0,939.0,656.0,761.0,52.25,2400.0,2228.0,172.0,0.83,0.95
Underworld Denizens,3079.0,1466.0,718.0,895.0,56.05,4531.0,3343.0,1188.0,1.19,1.11
Vampire,1003.0,343.0,245.0,415.0,39.05,1111.0,1245.0,-134.0,0.88,1.38
Wood Elf,2017.0,814.0,510.0,693.0,54.2,3003.0,2569.0,434.0,1.37,1.09
